im,lm,tp,tm,ne,ns,nt
1,0.00,0.00,0.00,0,0,0
2,0.00,0.00,0.50,0,0,0
3,0.00,0.00,0.75,0,0,0
4,0.00,0.00,1.00,0,0,0
5,0.00,0.50,0.00,0,0,0
6,0.00,0.50,0.50,0,0,0
7,0.00,0.50,0.75,0,0,0
8,0.00,0.50,1.00,0,0,0
9,0.00,0.75,0.00,0,0,0
10,0.00,0.75,0.50,0,0,0
11,0.00,0.75,0.75,0,0,0
12,0.00,0.75,1.00,0,0,0
13,0.00,1.00,0.00,0,0,0
14,0.00,1.00,0.50,0,0,0
15,0.00,1.00,0.75,0,0,0
16,0.00,1.00,1.00,0,0,0
17,0.25,0.00,0.00,0,0,0
18,0.25,0.00,0.50,0,0,0
19,0.25,0.00,0.75,0,0,0
20,0.25,0.00,1.00,0,0,0
21,0.25,0.50,0.00,0,0,0
22,0.25,0.50,0.50,0,0,0
23,0.25,0.50,0.75,0,0,0
24,0.25,0.50,1.00,0,0,0
25,0.25,0.75,0.00,0,0,0
26,0.25,0.75,0.50,0,0,0
27,0.25,0.75,0.75,0,0,0
28,0.25,0.75,1.00,0,0,0
29,0.25,1.00,0.00,0,0,0
30,0.25,1.00,0.50,0,0,0
31,0.25,1.00,0.75,0,0,0
32,0.25,1.00,1.00,0,0,0
33,0.50,0.00,0.00,0,0,0
34,0.50,0.00,0.50,0,0,0
35,0.50,0.00,0.75,0,0,0
36,0.50,0.00,1.00,0,0,0
37,0.50,0.50,0.00,0,0,0
38,0.50,0.50,0.50,0,0,0
39,0.50,0.50,0.75,0,0,0
40,0.50,0.50,1.00,0,0,0
41,0.50,0.75,0.00,0,0,0
42,0.50,0.75,0.50,0,0,0
43,0.50,0.75,0.75,0,0,0
44,0.50,0.75,1.00,0,0,0
45,0.50,1.00,0.00,0,0,0
46,0.50,1.00,0.50,0,0,0
47,0.50,1.00,0.75,0,0,0
48,0.50,1.00,1.00,0,0,0
49,1.00,0.00,0.00,0,0,0
50,1.00,0.00,0.50,0,0,0
51,1.00,0.00,0.75,0,0,0
52,1.00,0.00,1.00,0,0,0
53,1.00,0.50,0.00,0,0,0
54,1.00,0.50,0.50,0,0,0
55,1.00,0.50,0.75,0,0,0
56,1.00,0.50,1.00,0,0,0
57,1.00,0.75,0.00,0,0,0
58,1.00,0.75,0.50,0,0,0
59,1.00,0.75,0.75,0,0,0
60,1.00,0.75,1.00,0,0,0
61,1.00,1.00,0.00,0,0,0
62,1.00,1.00,0.50,0,0,0
63,1.00,1.00,0.75,0,0,0
64,1.00,1.00,1.00,0,0,0
