im,lm,tp,tm,ct
1.0,0.0,0.0,0.0,Occlusion
1.0,0.0,0.0,0.0,Shadow
1.0,0.0,0.0,0.0,Shadow
1.0,0.0,0.0,0.0,Shadow
1.0,0.0,0.0,0.0,Shadow
1.0,0.0,0.0,0.0,Shadow
1.0,0.0,0.0,0.0,Texture
1.0,0.0,0.0,0.0,Texture
1.0,0.0,0.0,0.0,Texture
1.0,0.0,0.0,0.0,Texture
1.0,0.0,0.0,0.0,Texture
1.0,0.0,0.0,0.0,Texture
1.0,0.0,0.0,0.0,Texture
1.0,0.0,0.0,0.0,Texture
1.0,0.0,0.0,0.0,Texture
1.0,0.0,0.0,0.0,Texture
1.0,0.0,0.0,0.0,Texture
1.0,0.0,0.0,0.0,Texture
1.0,0.0,0.0,0.0,Texture
1.0,0.0,0.0,0.0,Texture
1.0,0.0,0.0,0.0,Texture
1.0,0.0,0.0,0.0,Texture
1.0,0.0,0.0,0.0,Texture
1.0,0.0,0.0,0.0,Texture
1.0,0.0,0.0,0.0,Texture
1.0,0.0,0.0,0.0,Texture
1.0,0.0,0.0,0.0,Texture
1.0,0.0,0.0,0.0,Texture
1.0,0.0,0.0,0.0,Texture
1.0,0.0,0.0,0.0,Texture
1.0,0.0,0.0,0.0,Texture
1.0,0.0,0.0,0.0,Texture
1.0,0.0,0.0,0.0,Texture
1.0,0.0,0.0,0.0,Texture
1.0,0.0,0.0,0.0,Texture
1.0,0.0,0.0,0.0,Texture
1.0,0.0,0.0,0.0,Texture
1.0,0.0,0.0,0.0,Texture
1.0,0.0,0.0,0.0,Texture
1.0,0.0,0.0,0.0,Texture
1.0,0.0,0.0,0.0,Texture
1.0,0.0,0.0,0.0,Texture
1.0,0.0,0.0,0.0,Texture
1.0,0.0,0.0,0.0,Texture
1.0,0.0,0.0,0.0,Texture
1.0,0.0,0.0,0.0,Texture
1.0,0.0,0.0,0.0,Texture
1.0,0.0,0.0,0.0,Texture
1.0,0.0,0.0,0.0,Texture
1.0,0.0,0.0,0.0,Texture
1.0,0.0,0.0,0.0,Texture
1.0,0.0,0.0,0.0,Texture
1.0,0.0,0.0,0.0,Texture
1.0,0.0,0.0,0.0,Texture
1.0,0.0,0.0,0.0,Texture
1.0,0.0,0.0,0.0,Texture
1.0,0.0,0.0,0.0,Texture
1.0,0.0,0.0,0.0,Texture
1.0,0.0,0.0,0.0,Texture
1.0,0.0,0.0,0.0,Texture
1.0,0.0,0.0,0.0,Texture
1.0,0.0,0.0,0.0,Texture
1.0,0.0,0.0,0.0,Texture
1.0,0.0,0.0,0.0,Texture
1.0,0.0,0.0,0.0,Texture
1.0,0.0,0.0,0.0,Texture
1.0,0.0,0.0,0.0,Texture
1.0,0.0,0.0,0.0,Texture
1.0,0.0,0.0,0.0,Texture
1.0,0.0,0.0,0.0,Texture
2.0,0.0,0.0,0.5,Occlusion
2.0,0.0,0.0,0.5,Occlusion
2.0,0.0,0.0,0.5,Occlusion
2.0,0.0,0.0,0.5,Occlusion
2.0,0.0,0.0,0.5,Occlusion
2.0,0.0,0.0,0.5,Occlusion
2.0,0.0,0.0,0.5,Occlusion
2.0,0.0,0.0,0.5,Occlusion
2.0,0.0,0.0,0.5,Occlusion
2.0,0.0,0.0,0.5,Occlusion
2.0,0.0,0.0,0.5,Occlusion
2.0,0.0,0.0,0.5,Occlusion
2.0,0.0,0.0,0.5,Occlusion
2.0,0.0,0.0,0.5,Occlusion
2.0,0.0,0.0,0.5,Occlusion
2.0,0.0,0.0,0.5,Occlusion
2.0,0.0,0.0,0.5,Occlusion
2.0,0.0,0.0,0.5,Occlusion
2.0,0.0,0.0,0.5,Occlusion
2.0,0.0,0.0,0.5,Occlusion
2.0,0.0,0.0,0.5,Occlusion
2.0,0.0,0.0,0.5,Occlusion
2.0,0.0,0.0,0.5,Occlusion
2.0,0.0,0.0,0.5,Occlusion
2.0,0.0,0.0,0.5,Occlusion
2.0,0.0,0.0,0.5,Occlusion
2.0,0.0,0.0,0.5,Occlusion
2.0,0.0,0.0,0.5,Occlusion
2.0,0.0,0.0,0.5,Occlusion
2.0,0.0,0.0,0.5,Occlusion
2.0,0.0,0.0,0.5,Occlusion
2.0,0.0,0.0,0.5,Occlusion
2.0,0.0,0.0,0.5,Occlusion
2.0,0.0,0.0,0.5,Occlusion
2.0,0.0,0.0,0.5,Occlusion
2.0,0.0,0.0,0.5,Occlusion
2.0,0.0,0.0,0.5,Occlusion
2.0,0.0,0.0,0.5,Occlusion
2.0,0.0,0.0,0.5,Occlusion
2.0,0.0,0.0,0.5,Occlusion
2.0,0.0,0.0,0.5,Occlusion
2.0,0.0,0.0,0.5,Occlusion
2.0,0.0,0.0,0.5,Occlusion
2.0,0.0,0.0,0.5,Occlusion
2.0,0.0,0.0,0.5,Occlusion
2.0,0.0,0.0,0.5,Occlusion
2.0,0.0,0.0,0.5,Occlusion
2.0,0.0,0.0,0.5,Shadow
2.0,0.0,0.0,0.5,Shadow
2.0,0.0,0.0,0.5,Shadow
2.0,0.0,0.0,0.5,Texture
2.0,0.0,0.0,0.5,Texture
2.0,0.0,0.0,0.5,Texture
2.0,0.0,0.0,0.5,Texture
2.0,0.0,0.0,0.5,Texture
2.0,0.0,0.0,0.5,Texture
2.0,0.0,0.0,0.5,Texture
2.0,0.0,0.0,0.5,Texture
2.0,0.0,0.0,0.5,Texture
2.0,0.0,0.0,0.5,Texture
2.0,0.0,0.0,0.5,Texture
2.0,0.0,0.0,0.5,Texture
2.0,0.0,0.0,0.5,Texture
2.0,0.0,0.0,0.5,Texture
2.0,0.0,0.0,0.5,Texture
2.0,0.0,0.0,0.5,Texture
2.0,0.0,0.0,0.5,Texture
2.0,0.0,0.0,0.5,Texture
2.0,0.0,0.0,0.5,Texture
2.0,0.0,0.0,0.5,Texture
3.0,0.0,0.0,0.75,Occlusion
3.0,0.0,0.0,0.75,Occlusion
3.0,0.0,0.0,0.75,Occlusion
3.0,0.0,0.0,0.75,Occlusion
3.0,0.0,0.0,0.75,Occlusion
3.0,0.0,0.0,0.75,Occlusion
3.0,0.0,0.0,0.75,Occlusion
3.0,0.0,0.0,0.75,Occlusion
3.0,0.0,0.0,0.75,Occlusion
3.0,0.0,0.0,0.75,Occlusion
3.0,0.0,0.0,0.75,Occlusion
3.0,0.0,0.0,0.75,Occlusion
3.0,0.0,0.0,0.75,Occlusion
3.0,0.0,0.0,0.75,Occlusion
3.0,0.0,0.0,0.75,Occlusion
3.0,0.0,0.0,0.75,Occlusion
3.0,0.0,0.0,0.75,Occlusion
3.0,0.0,0.0,0.75,Occlusion
3.0,0.0,0.0,0.75,Occlusion
3.0,0.0,0.0,0.75,Occlusion
3.0,0.0,0.0,0.75,Occlusion
3.0,0.0,0.0,0.75,Occlusion
3.0,0.0,0.0,0.75,Occlusion
3.0,0.0,0.0,0.75,Occlusion
3.0,0.0,0.0,0.75,Occlusion
3.0,0.0,0.0,0.75,Occlusion
3.0,0.0,0.0,0.75,Occlusion
3.0,0.0,0.0,0.75,Occlusion
3.0,0.0,0.0,0.75,Occlusion
3.0,0.0,0.0,0.75,Occlusion
3.0,0.0,0.0,0.75,Occlusion
3.0,0.0,0.0,0.75,Occlusion
3.0,0.0,0.0,0.75,Occlusion
3.0,0.0,0.0,0.75,Occlusion
3.0,0.0,0.0,0.75,Occlusion
3.0,0.0,0.0,0.75,Occlusion
3.0,0.0,0.0,0.75,Occlusion
3.0,0.0,0.0,0.75,Occlusion
3.0,0.0,0.0,0.75,Occlusion
3.0,0.0,0.0,0.75,Occlusion
3.0,0.0,0.0,0.75,Occlusion
3.0,0.0,0.0,0.75,Occlusion
3.0,0.0,0.0,0.75,Occlusion
3.0,0.0,0.0,0.75,Occlusion
3.0,0.0,0.0,0.75,Occlusion
3.0,0.0,0.0,0.75,Occlusion
3.0,0.0,0.0,0.75,Occlusion
3.0,0.0,0.0,0.75,Occlusion
3.0,0.0,0.0,0.75,Occlusion
3.0,0.0,0.0,0.75,Occlusion
3.0,0.0,0.0,0.75,Occlusion
3.0,0.0,0.0,0.75,Occlusion
3.0,0.0,0.0,0.75,Occlusion
3.0,0.0,0.0,0.75,Occlusion
3.0,0.0,0.0,0.75,Occlusion
3.0,0.0,0.0,0.75,Occlusion
3.0,0.0,0.0,0.75,Occlusion
3.0,0.0,0.0,0.75,Shadow
3.0,0.0,0.0,0.75,Texture
3.0,0.0,0.0,0.75,Texture
3.0,0.0,0.0,0.75,Texture
3.0,0.0,0.0,0.75,Texture
3.0,0.0,0.0,0.75,Texture
3.0,0.0,0.0,0.75,Texture
3.0,0.0,0.0,0.75,Texture
3.0,0.0,0.0,0.75,Texture
3.0,0.0,0.0,0.75,Texture
3.0,0.0,0.0,0.75,Texture
3.0,0.0,0.0,0.75,Texture
3.0,0.0,0.0,0.75,Texture
4.0,0.0,0.0,1.0,Occlusion
4.0,0.0,0.0,1.0,Occlusion
4.0,0.0,0.0,1.0,Occlusion
4.0,0.0,0.0,1.0,Occlusion
4.0,0.0,0.0,1.0,Occlusion
4.0,0.0,0.0,1.0,Occlusion
4.0,0.0,0.0,1.0,Occlusion
4.0,0.0,0.0,1.0,Occlusion
4.0,0.0,0.0,1.0,Occlusion
4.0,0.0,0.0,1.0,Occlusion
4.0,0.0,0.0,1.0,Occlusion
4.0,0.0,0.0,1.0,Occlusion
4.0,0.0,0.0,1.0,Occlusion
4.0,0.0,0.0,1.0,Occlusion
4.0,0.0,0.0,1.0,Occlusion
4.0,0.0,0.0,1.0,Occlusion
4.0,0.0,0.0,1.0,Occlusion
4.0,0.0,0.0,1.0,Occlusion
4.0,0.0,0.0,1.0,Occlusion
4.0,0.0,0.0,1.0,Occlusion
4.0,0.0,0.0,1.0,Occlusion
4.0,0.0,0.0,1.0,Occlusion
4.0,0.0,0.0,1.0,Occlusion
4.0,0.0,0.0,1.0,Occlusion
4.0,0.0,0.0,1.0,Occlusion
4.0,0.0,0.0,1.0,Occlusion
4.0,0.0,0.0,1.0,Occlusion
4.0,0.0,0.0,1.0,Occlusion
4.0,0.0,0.0,1.0,Occlusion
4.0,0.0,0.0,1.0,Occlusion
4.0,0.0,0.0,1.0,Occlusion
4.0,0.0,0.0,1.0,Occlusion
4.0,0.0,0.0,1.0,Occlusion
4.0,0.0,0.0,1.0,Occlusion
4.0,0.0,0.0,1.0,Occlusion
4.0,0.0,0.0,1.0,Occlusion
4.0,0.0,0.0,1.0,Occlusion
4.0,0.0,0.0,1.0,Occlusion
4.0,0.0,0.0,1.0,Occlusion
4.0,0.0,0.0,1.0,Occlusion
4.0,0.0,0.0,1.0,Occlusion
4.0,0.0,0.0,1.0,Occlusion
4.0,0.0,0.0,1.0,Occlusion
4.0,0.0,0.0,1.0,Occlusion
4.0,0.0,0.0,1.0,Occlusion
4.0,0.0,0.0,1.0,Occlusion
4.0,0.0,0.0,1.0,Occlusion
4.0,0.0,0.0,1.0,Occlusion
4.0,0.0,0.0,1.0,Occlusion
4.0,0.0,0.0,1.0,Occlusion
4.0,0.0,0.0,1.0,Occlusion
4.0,0.0,0.0,1.0,Occlusion
4.0,0.0,0.0,1.0,Occlusion
4.0,0.0,0.0,1.0,Occlusion
4.0,0.0,0.0,1.0,Occlusion
