im,lm,tp,tm,ne,ns,nt
1.0,0.0,0.0,0.0,1,5,64
2.0,0.0,0.0,0.5,47,3,20
3.0,0.0,0.0,0.75,57,1,12
4.0,0.0,0.0,1.0,61,1,8
5.0,0.0,0.5,0.0,3,4,63
6.0,0.0,0.5,0.5,29,7,34
7.0,0.0,0.5,0.75,39,6,25
8.0,0.0,0.5,1.0,42,7,21
9.0,0.0,0.75,0.0,2,5,63
10.0,0.0,0.75,0.5,19,7,44
11.0,0.0,0.75,0.75,30,9,31
12.0,0.0,0.75,1.0,40,5,25
13.0,0.0,1.0,0.0,3,4,63
14.0,0.0,1.0,0.5,10,9,51
15.0,0.0,1.0,0.75,21,3,46
16.0,0.0,1.0,1.0,32,8,30
17.0,0.25,0.0,0.0,46,23,1
18.0,0.25,0.0,0.5,64,6,0
19.0,0.25,0.0,0.75,67,2,1
20.0,0.25,0.0,1.0,64,5,1
21.0,0.25,0.5,0.0,3,48,19
22.0,0.25,0.5,0.5,13,36,21
23.0,0.25,0.5,0.75,34,21,15
24.0,0.25,0.5,1.0,39,15,16
25.0,0.25,0.75,0.0,2,37,31
26.0,0.25,0.75,0.5,14,30,26
27.0,0.25,0.75,0.75,23,25,22
28.0,0.25,0.75,1.0,36,14,20
29.0,0.25,1.0,0.0,3,26,41
30.0,0.25,1.0,0.5,8,24,38
31.0,0.25,1.0,0.75,25,23,22
32.0,0.25,1.0,1.0,29,14,27
33.0,0.5,0.0,0.0,53,16,1
34.0,0.5,0.0,0.5,58,11,1
35.0,0.5,0.0,0.75,63,6,1
36.0,0.5,0.0,1.0,66,3,1
37.0,0.5,0.5,0.0,5,63,2
38.0,0.5,0.5,0.5,10,58,2
39.0,0.5,0.5,0.75,18,50,2
40.0,0.5,0.5,1.0,25,45,0
41.0,0.5,0.75,0.0,2,63,5
42.0,0.5,0.75,0.5,6,61,3
43.0,0.5,0.75,0.75,11,56,3
44.0,0.5,0.75,1.0,14,51,5
45.0,0.5,1.0,0.0,2,59,9
46.0,0.5,1.0,0.5,3,61,6
47.0,0.5,1.0,0.75,9,53,8
48.0,0.5,1.0,1.0,16,49,5
49.0,1.0,0.0,0.0,65,4,1
50.0,1.0,0.0,0.5,65,4,1
51.0,1.0,0.0,0.75,65,4,1
52.0,1.0,0.0,1.0,64,5,1
53.0,1.0,0.5,0.0,28,40,2
54.0,1.0,0.5,0.5,23,46,1
55.0,1.0,0.5,0.75,29,41,0
56.0,1.0,0.5,1.0,32,38,0
57.0,1.0,0.75,0.0,22,48,0
58.0,1.0,0.75,0.5,19,49,2
59.0,1.0,0.75,0.75,21,49,0
60.0,1.0,0.75,1.0,21,47,2
61.0,1.0,1.0,0.0,12,56,2
62.0,1.0,1.0,0.5,9,59,2
63.0,1.0,1.0,0.75,14,54,2
64.0,1.0,1.0,1.0,16,53,1
