im,lm,tp,tm,ne,ns,nt
1.0,0.0,0.0,0.0,0,4,66
2.0,0.0,0.0,0.5,21,4,45
3.0,0.0,0.0,0.75,39,4,27
4.0,0.0,0.0,1.0,49,3,18
5.0,0.0,0.5,0.0,0,3,67
6.0,0.0,0.5,0.5,5,4,61
7.0,0.0,0.5,0.75,8,2,60
8.0,0.0,0.5,1.0,14,3,53
9.0,0.0,0.75,0.0,0,3,67
10.0,0.0,0.75,0.5,3,4,63
11.0,0.0,0.75,0.75,6,4,60
12.0,0.0,0.75,1.0,10,4,56
13.0,0.0,1.0,0.0,2,1,67
14.0,0.0,1.0,0.5,2,4,64
15.0,0.0,1.0,0.75,6,4,60
16.0,0.0,1.0,1.0,8,4,58
17.0,0.25,0.0,0.0,49,20,1
18.0,0.25,0.0,0.5,62,6,2
19.0,0.25,0.0,0.75,64,5,1
20.0,0.25,0.0,1.0,64,5,1
21.0,0.25,0.5,0.0,0,39,31
22.0,0.25,0.5,0.5,7,32,31
23.0,0.25,0.5,0.75,9,32,29
24.0,0.25,0.5,1.0,11,18,41
25.0,0.25,0.75,0.0,0,25,45
26.0,0.25,0.75,0.5,4,23,43
27.0,0.25,0.75,0.75,11,25,34
28.0,0.25,0.75,1.0,7,20,43
29.0,0.25,1.0,0.0,1,11,58
30.0,0.25,1.0,0.5,2,21,47
31.0,0.25,1.0,0.75,4,18,48
32.0,0.25,1.0,1.0,5,20,45
33.0,0.5,0.0,0.0,54,14,2
34.0,0.5,0.0,0.5,59,10,1
35.0,0.5,0.0,0.75,61,8,1
36.0,0.5,0.0,1.0,59,9,2
37.0,0.5,0.5,0.0,3,65,2
38.0,0.5,0.5,0.5,5,60,5
39.0,0.5,0.5,0.75,6,62,2
40.0,0.5,0.5,1.0,10,58,2
41.0,0.5,0.75,0.0,4,60,6
42.0,0.5,0.75,0.5,5,58,7
43.0,0.5,0.75,0.75,3,63,4
44.0,0.5,0.75,1.0,5,62,3
45.0,0.5,1.0,0.0,0,59,11
46.0,0.5,1.0,0.5,4,54,12
47.0,0.5,1.0,0.75,2,61,7
48.0,0.5,1.0,1.0,6,52,12
49.0,1.0,0.0,0.0,66,3,1
50.0,1.0,0.0,0.5,66,3,1
51.0,1.0,0.0,0.75,62,7,1
52.0,1.0,0.0,1.0,66,3,1
53.0,1.0,0.5,0.0,31,38,1
54.0,1.0,0.5,0.5,33,36,1
55.0,1.0,0.5,0.75,32,37,1
56.0,1.0,0.5,1.0,32,36,2
57.0,1.0,0.75,0.0,25,43,2
58.0,1.0,0.75,0.5,26,42,2
59.0,1.0,0.75,0.75,29,40,1
60.0,1.0,0.75,1.0,23,45,2
61.0,1.0,1.0,0.0,13,56,1
62.0,1.0,1.0,0.5,15,53,2
63.0,1.0,1.0,0.75,16,53,1
64.0,1.0,1.0,1.0,16,52,2
